English,Hindi,Gadhwali,
I,मैं,मै,
am,हूँ,च,
nisha,निशा,निशा
i am nisha,मैं निशा हूं,मया नॉउ निशा छ 
can,सकता,सकदु,
could,सकता था,सकदु थो,
may,शायद,शायद
might,शायद,शायद
will,गा/गे/गी,ला/लू/ली
would,ता/ते/ती,थो/थी/थे
shall,क्या हम,क्या हम
should,चाहिए,चाहिन्दु
must,चाहिए,चाहिन्दु
ought to,चाहिए,चाहिन्दु
what,क्या,क्या
when,कब,कति
where,कहाँ,कथीं
who,कौन,कु
why,क्यों,किले
how,कैसे,कन
how much,कितना,कत्तु
how many,कितने,कतिग 
which,कौन सा,को वा
whose,किसका,केगु
in,में,मा
on,पर,पर
at,पर/में,पर/मा
to,को/की ओर,कन
from,से,बटी
with,के साथ,दगड़ी
for,के लिए,कन
about,के बारे में,कन
by,के द्वारा/के पास,किनार/बटी
of,का/की/के,कु/कि/के
I am happy,मैं खुश हूँ, मि खुसी छू
I am not happy,मैं खुश नहीं हूँ,मि खुसी निई छू
I don't want to play,मैं खेलना नहीं चाहता,मि खेलु निई चौन
because,क्योंकि,किलै
injured,चोटिल,चोट
you,तुम,तुं
are,हो,छ
not,नहीं,न
happy,खुश,खुश 
he,वह,उ
she,वह,उ
they,वे,ऊं
we,हम,हम
this,यह,यो
that,वह,वो
is,है,छ
was,था,थ
were,थे,थ
have,है,छ
has,है,छ
do,करो,कर
does,करता है,करुं
did,किया,कियुं
go,जाओ,जां
come,आओ,आं
eat,खाओ,खां
drink,पियो,प्य
see,देखो,देख
run,दौड़ो,दौड़
sit,बैठो,बैठ
stand,खड़े हो,खड़
sleep,सोओ,स्यू
wake up,जागो,जाग
write,लिखो,लिख
read,पढ़ो,पढ़
speak,बोलो,बोल
listen,सुनो,सुण
understand,समझो,बूज
one,एक,एक
two,दो,द्वि
three,तीन,तीन
four,चार,च्यार
five,पांच,पांच
six,छह,छौ
seven,सात,सात
eight,आठ,आठ
nine,नौ,नौ
ten,दस,दस
big,बड़ा,ठुल
small,छोटा,छुटु
good,अच्छा,भलु
bad,बुरा,खराब
hot,गरम,तातु
cold,ठंडा,ठंडु
fast,तेज,तेज
slow,धीमा,धिरु
here,यहाँ,इख
there,वहाँ,उख
now,अब,अभि
then,तब,तभी
always,हमेशा,हमेश
never,कभी नहीं,कदी नी
yes,हाँ,हौं
no,नहीं,नी
maybe,शायद,शायद
again,फिर से,फेरी
help,मदद,मदद
work,काम,कम
play,खेलना,खेलणु
today,आज,आज
tomorrow,कल,काल
yesterday,कल,ग्यांकल
day,दिन,दिन
night,रात,रात
morning,सुबह,सवेर
evening,शाम,संझ
week,सप्ताह,हप्तु
month,महीना,महीना
year,साल,साल
time,समय,समय
water,पानी,पाणी
fire,आग,अगिन
earth,पृथ्वी,धरती
sky,आकाश,आकाश
mountain,पर्वत,डांडा
